Time,Lot,pH,Temp,Current,Voltage,DTime,QC
03:15.6,8,1.89,27.42,3.69,3.84,2021-09-23,1
03:20.7,8,1.91,25.89,3.51,4.82,2021-09-23,1
03:25.7,8,2.22,25.59,4.29,3.5,2021-09-23,1
03:30.7,8,2.86,21.04,4.16,4.33,2021-09-23,1
03:35.7,8,2.05,23.55,2.39,3.37,2021-09-23,1
03:40.7,8,1.57,22.23,3.85,4.69,2021-09-23,1
03:45.7,8,2.85,24.23,4.19,4.56,2021-09-23,1
03:50.7,8,2.19,24.51,3.49,4.09,2021-09-23,1
03:55.7,8,2.4,26.22,3.31,3.63,2021-09-23,1
04:00.7,8,1.78,25.32,3.8,4.03,2021-09-23,1
04:05.7,8,2.19,27.39,3.66,3.26,2021-09-23,1
04:10.7,8,2.2,24.58,3.71,4.14,2021-09-23,1
04:15.7,8,2.14,22.58,3.86,3.92,2021-09-23,1
04:20.7,8,2.82,26.28,3.32,4.34,2021-09-23,1
04:25.7,8,3.58,24.27,4.01,1.07,2021-09-23,1
04:30.7,8,2.4,27.45,4.44,3.7,2021-09-23,1
04:35.7,8,2.25,25.75,4.09,4.02,2021-09-23,1
04:40.7,8,2.68,21.35,4.48,3.68,2021-09-23,1
04:45.7,8,1.83,22.87,3.58,4.45,2021-09-23,1
04:50.8,8,2.41,21.4,3.99,3.25,2021-09-23,1
04:55.8,8,1.63,22.27,3.4,4.28,2021-09-23,1
05:00.8,8,2.38,21.18,4.38,4.41,2021-09-23,1
05:05.8,8,2.83,26.28,3.95,3.22,2021-09-23,1
05:10.8,8,1.96,25.36,4.25,4.23,2021-09-23,1
05:15.8,8,2.55,26.32,3.08,3.68,2021-09-23,1
05:20.8,8,2.21,24.94,4.11,3.98,2021-09-23,1
05:25.8,8,1.7,21.41,3.3,4.88,2021-09-23,1
05:30.8,8,2.87,27.91,3.81,3.92,2021-09-23,1
05:35.8,8,1.8,23.07,3.67,3.46,2021-09-23,1
05:40.8,8,1.59,23.66,3.37,3.86,2021-09-23,1
05:45.8,8,2.68,26.91,4.11,4.61,2021-09-23,1
05:50.8,8,2.12,26.14,4.02,3.77,2021-09-23,1
05:55.8,8,1.93,27.67,3.24,3.32,2021-09-23,1
06:00.8,8,2.9,24.18,3.25,3.57,2021-09-23,1
06:05.8,8,2.63,23.21,3.85,4.38,2021-09-23,1
06:10.8,8,1.68,24.75,3.17,4.98,2021-09-23,1
06:15.9,8,2.53,22.35,3.74,4.46,2021-09-23,1
06:20.9,8,1.76,24.27,3.32,3.57,2021-09-23,1
06:25.9,8,2.16,22.41,4.09,3.34,2021-09-23,1
06:30.9,8,1.69,24.71,3.18,4.47,2021-09-23,1
06:35.9,8,5.15,22.2,3.11,3.94,2021-09-23,1
06:40.9,8,1.85,22.4,4.23,3.55,2021-09-23,1
06:45.9,8,2.54,22.78,4.07,3.16,2021-09-23,1
06:50.9,8,1.85,27.02,3.14,4.19,2021-09-23,1
06:55.9,8,2.27,25.19,4.02,3.77,2021-09-23,1
07:00.9,8,1.76,22.02,3.29,4.55,2021-09-23,1
07:05.9,8,1.69,21.81,3.34,3.95,2021-09-23,1
07:10.9,8,2.16,26.47,4.46,4.45,2021-09-23,1
07:15.9,8,2.55,26.54,4.37,3.63,2021-09-23,1
07:20.9,8,2.56,21.81,4.06,3.39,2021-09-23,1
07:25.9,8,1.61,23.95,4.23,4.92,2021-09-23,1
07:30.9,8,2.9,24.7,3.63,4.88,2021-09-23,1
07:35.9,8,1.93,22.34,3.72,4.57,2021-09-23,1
07:40.9,8,2.12,22.45,3.22,3.62,2021-09-23,1
07:45.9,8,1.56,23.51,3.21,4.52,2021-09-23,1
07:50.9,8,2.27,23.36,3.09,3.57,2021-09-23,1
07:55.9,8,2.56,21.59,3.77,3.86,2021-09-23,1
08:01.0,8,1.98,25.88,4,3.13,2021-09-23,1
08:06.0,8,2.9,24.8,4.46,3.45,2021-09-23,1
08:11.0,8,2.99,22.87,3.05,4.52,2021-09-23,1
08:16.0,8,1.54,24.88,3.73,3.73,2021-09-23,1
08:21.0,8,1.55,24.95,3.2,4.02,2021-09-23,1
08:26.0,8,2.48,24,3.37,4.08,2021-09-23,1
08:31.0,8,2,21.06,4.13,3.38,2021-09-23,1
08:56.2,9,1.66,27.21,4.45,4.66,2021-09-23,1
09:01.2,9,2.33,24.43,4.17,3.37,2021-09-23,1
09:06.2,9,2.74,26.07,3.27,3.35,2021-09-23,1
09:11.2,9,1.64,23.25,3.99,3.24,2021-09-23,1
09:16.2,9,2.96,22.76,3.84,4.18,2021-09-23,1
09:21.2,9,2.4,23.85,4.18,4.42,2021-09-23,1
09:26.2,9,1.64,23.74,3.26,3.96,2021-09-23,1
09:31.2,9,2.66,26.3,3.46,4.3,2021-09-23,1
09:36.2,9,2.6,22.8,4.32,3.6,2021-09-23,1
09:41.2,9,1.98,26.28,4.47,3.98,2021-09-23,1
09:46.2,9,2.98,25.06,4.04,4,2021-09-23,1
09:51.2,9,1.63,24.23,4.37,3.56,2021-09-23,1
09:56.2,9,2.54,26.01,4.33,4.28,2021-09-23,1
10:01.2,9,1.86,25.91,3.55,4.32,2021-09-23,1
10:06.2,9,1.86,23.83,3.54,3.53,2021-09-23,1
10:11.3,9,2.9,24.97,3.87,4.05,2021-09-23,1
10:16.3,9,2.38,26.7,4.12,3.4,2021-09-23,1
10:21.3,9,1.64,21.03,3.09,3.73,2021-09-23,1
10:26.3,9,2.19,22.32,4.31,4.55,2021-09-23,1
10:31.3,9,2.37,23.64,3.16,4.1,2021-09-23,1
10:36.3,9,1.89,27.09,3.24,3.14,2021-09-23,1
10:41.3,9,1.95,24.25,3.3,3.92,2021-09-23,1
10:46.3,9,2.28,23.87,3.76,4.09,2021-09-23,1
10:51.3,9,2.78,26.14,4.47,4.15,2021-09-23,1
10:56.3,9,1.98,26.15,3.22,3.57,2021-09-23,1
11:01.3,9,2.48,25.75,3.74,4.44,2021-09-23,1
11:06.3,9,1.86,27.2,3.37,3.24,2021-09-23,1
11:11.3,9,2.08,27.1,3.09,4.21,2021-09-23,1
11:16.3,9,2.79,26.44,3.25,3.79,2021-09-23,1
11:21.3,9,2.37,25.94,3.77,4.81,2021-09-23,1
11:26.3,9,1.6,27.6,4.39,4.94,2021-09-23,1
11:31.3,9,2.16,27.29,4.34,4.19,2021-09-23,1
11:36.3,9,2.07,24.9,4.16,3.92,2021-09-23,1
11:41.3,9,2.39,23.14,3.41,4.47,2021-09-23,1
11:46.3,9,1.78,23.32,3.36,4.94,2021-09-23,1
11:51.4,9,2.05,25.97,3.1,4.43,2021-09-23,1
11:56.4,9,2.79,21.86,3.91,3.9,2021-09-23,1
12:01.4,9,1.97,22.45,3.1,4.54,2021-09-23,1
12:06.4,9,2.8,26.96,3.11,3.06,2021-09-23,1
12:11.4,9,1.82,25.6,3.65,3.61,2021-09-23,1
12:16.4,9,1.66,25.02,3.47,4.16,2021-09-23,1
12:21.4,9,1.75,24.15,3.36,4.87,2021-09-23,1
12:26.4,9,1.83,27.87,4.44,4.21,2021-09-23,1
12:31.4,9,2.53,25.47,4.45,4.06,2021-09-23,1
12:36.4,9,1.52,27.78,3.02,4.6,2021-09-23,1
12:41.4,9,2.97,24.4,3.63,4.14,2021-09-23,1
12:46.4,9,2.79,25.61,3.41,3.5,2021-09-23,1
12:51.4,9,1.68,23.08,3.96,4.51,2021-09-23,1
12:56.4,9,1.66,21.57,3.62,3.82,2021-09-23,1
13:01.4,9,1.95,23.3,3.75,4.24,2021-09-23,1
13:06.4,9,2.09,22.1,4.24,3.39,2021-09-23,1
13:11.4,9,2.21,26.14,3.11,3.42,2021-09-23,1
13:16.4,9,1.6,21.32,4.47,4.89,2021-09-23,1
13:21.5,9,2.25,21.35,3.12,3.56,2021-09-23,1
13:26.5,9,2.5,25.65,4.02,4.93,2021-09-23,1
13:31.5,9,1.67,24.98,3.88,3.96,2021-09-23,1
13:36.5,9,1.92,26.18,3.96,4.3,2021-09-23,1
13:41.5,9,2.44,24.24,3.56,3.74,2021-09-23,1
13:46.5,9,2.98,23.03,3.19,3.58,2021-09-23,1
13:51.5,9,2.2,22.65,3.01,3.02,2021-09-23,1
13:56.5,9,2.67,22.12,3.83,4,2021-09-23,1
14:01.5,9,2.29,26.76,4.33,3.58,2021-09-23,1
14:06.5,9,2.65,21.55,4.21,4.43,2021-09-23,1
14:11.5,9,2.4,21.63,4.42,3.94,2021-09-23,1
14:16.5,9,1.96,26.13,4.19,4.75,2021-09-23,1
14:21.5,9,2.25,21.41,4.11,3.3,2021-09-23,1
14:26.5,9,2.7,27.18,3.64,3.24,2021-09-23,1
14:31.5,9,1.69,24.23,3.89,4.61,2021-09-23,1
14:36.5,9,2.61,24.6,4.41,3.87,2021-09-23,1
15:03.4,10,1.52,27.96,4.09,3.04,2021-09-23,1
15:08.4,10,2.5,24.91,3.16,3.45,2021-09-23,1
15:13.4,10,2.53,23.26,3.2,3.59,2021-09-23,1
15:18.4,10,1.7,25.66,4.2,4.66,2021-09-23,1
15:23.4,10,1.68,24.7,3.84,4.35,2021-09-23,1
15:28.4,10,1.87,23.54,3.78,3.1,2021-09-23,1
15:33.5,10,2.23,21.13,3.02,4.82,2021-09-23,1
15:38.5,10,2.67,27.56,3.6,3.21,2021-09-23,1
15:43.5,10,2.3,24.05,3.34,4.47,2021-09-23,1
15:48.5,10,1.9,24.54,3.51,4.98,2021-09-23,1
15:53.5,10,2.93,24.49,3.28,4.01,2021-09-23,1
15:58.5,10,2.54,25.96,4.47,4.52,2021-09-23,1
16:03.5,10,2.26,23.78,3.2,4.09,2021-09-23,1
16:08.5,10,2.36,25.17,3.23,3.93,2021-09-23,1
16:13.5,10,2.52,24.13,3.51,3.8,2021-09-23,1
16:18.5,10,2.91,23.21,3.58,3.91,2021-09-23,1
16:23.5,10,1.81,21.86,4.39,3.72,2021-09-23,1
16:28.5,10,1.63,24.85,3.63,4.64,2021-09-23,1
16:33.5,10,1.77,23.75,4.37,4.29,2021-09-23,1
16:38.5,10,1.64,25.19,4.03,4.3,2021-09-23,1
16:43.5,10,2.72,23.37,4.38,4.28,2021-09-23,1
16:48.5,10,1.9,23.18,4.32,3.61,2021-09-23,1
16:53.5,10,2.2,24.02,3.65,4.44,2021-09-23,1
16:58.5,10,1.83,24.8,4.43,4.72,2021-09-23,1
17:03.5,10,2.64,26.17,3.66,3.04,2021-09-23,1
17:08.5,10,2.56,27.08,4.45,3.45,2021-09-23,1
17:13.5,10,1.67,23.3,3.58,4.62,2021-09-23,1
17:18.5,10,1.95,27.94,3.57,3.57,2021-09-23,1
17:23.5,10,1.53,22.47,3.01,3.82,2021-09-23,1
17:28.6,10,1.76,27.94,4.1,4.49,2021-09-23,1
17:33.6,10,2.79,24.73,3.64,4.98,2021-09-23,1
17:38.6,10,1.52,25.73,3.55,3.43,2021-09-23,1
17:43.6,10,2.35,23.55,4.1,3.78,2021-09-23,1
17:48.6,10,2.56,25.36,3.3,3.86,2021-09-23,1
17:53.6,10,2.14,26.67,3.37,3.81,2021-09-23,1
17:58.6,10,2.31,27.07,4.33,4.91,2021-09-23,1
18:03.6,10,2.33,25.14,4.25,3.73,2021-09-23,1
18:08.6,10,2,25.76,4.2,3.65,2021-09-23,1
18:13.6,10,2.28,26.69,3.13,3.12,2021-09-23,1
18:18.6,10,2.24,26.14,3.47,3.22,2021-09-23,1
18:23.6,10,2.7,23.78,3.59,3.11,2021-09-23,1
18:28.6,10,2.42,21.11,4.31,3.56,2021-09-23,1
18:33.6,10,2.83,22.7,3.56,3.77,2021-09-23,1
18:38.6,10,2.38,27.28,3.76,3.76,2021-09-23,1
18:43.6,10,2.72,21.48,3.65,4.28,2021-09-23,1
18:48.6,10,2.96,25.75,3.9,4.8,2021-09-23,1
18:53.6,10,1.83,26.64,3.91,4.53,2021-09-23,1
18:58.7,10,2.57,22.61,4.09,3.51,2021-09-23,1
19:03.7,10,1.86,21.81,3.67,3.65,2021-09-23,1
19:08.7,10,2.83,22.08,3.7,4.88,2021-09-23,1
19:13.7,10,1.88,25.18,3.78,4.98,2021-09-23,1
19:18.7,10,1.87,23.67,3.24,3.72,2021-09-23,1
19:23.7,10,1.78,27.88,4.22,3.59,2021-09-23,1
19:28.7,10,1.84,24.88,4.03,4.34,2021-09-23,1
19:33.7,10,3.31,18.22,3.86,4.02,2021-09-23,1
19:38.7,10,2.16,24.79,3.52,4.8,2021-09-23,1
19:43.7,10,1.65,21.97,4.03,3.72,2021-09-23,1
19:48.7,10,1.73,21.43,4.1,3.77,2021-09-23,1
19:53.7,10,1.79,22.22,4.24,4.22,2021-09-23,1
19:58.7,10,2.47,23.78,3.67,3.83,2021-09-23,1
20:03.7,10,2.48,21.2,3.25,3.74,2021-09-23,1
20:08.7,10,2.61,21.42,3.77,3.12,2021-09-23,1
20:13.7,10,2.36,23.37,3.57,4.9,2021-09-23,1
20:18.7,10,2.76,24.28,3.34,4.17,2021-09-23,1
20:23.7,10,2.7,25.6,3.28,3.68,2021-09-23,1
20:28.8,10,1.72,22.98,4.34,4.07,2021-09-23,1
20:33.8,10,2.05,26.89,4.35,4.72,2021-09-23,1
20:38.8,10,2.12,24.66,4.15,4.76,2021-09-23,1
20:43.8,10,1.96,23.21,3.59,4.04,2021-09-23,1
21:10.8,11,2.37,23.23,3.39,4.08,2021-09-23,1
21:15.8,11,2.42,23.49,3.05,4.82,2021-09-23,1
21:20.8,11,2,27.18,3.78,4.14,2021-09-23,1
21:25.8,11,2.82,23.92,3.98,3.33,2021-09-23,1
21:30.8,11,1.75,25.34,2.46,4.96,2021-09-23,1
21:35.8,11,2.42,26.7,4.27,3.13,2021-09-23,1
21:40.8,11,2.69,22.46,4.37,3.49,2021-09-23,1
21:45.8,11,1.92,22.29,4.43,4.22,2021-09-23,1
21:50.8,11,2.17,27.65,3.96,3.92,2021-09-23,1
21:55.8,11,2.47,25.4,3.7,4.02,2021-09-23,1
22:00.8,11,2.24,25.56,3.63,4.48,2021-09-23,1
22:05.9,11,1.84,22.42,3.2,4.84,2021-09-23,1
22:10.9,11,2.64,22.85,3.57,4.89,2021-09-23,1
22:15.9,11,2.46,26.41,3.96,4.54,2021-09-23,1
22:20.9,11,1.63,21.1,4.34,4.81,2021-09-23,1
22:25.9,11,1.65,26.54,3.32,3.22,2021-09-23,1
22:30.9,11,2.84,25.85,3.45,3.46,2021-09-23,1
22:35.9,11,1.51,21.75,4,3.06,2021-09-23,1
22:40.9,11,1.97,23.31,3.44,4.5,2021-09-23,1
22:45.9,11,1.58,21.6,3.09,3.79,2021-09-23,1
22:50.9,11,2.35,21.18,4,4.9,2021-09-23,1
22:55.9,11,2.61,21.37,3.18,4.54,2021-09-23,1
23:00.9,11,2.91,25.11,3.05,3.64,2021-09-23,1
23:05.9,11,2.72,21.4,4.01,4.19,2021-09-23,1
23:10.9,11,2.36,24.58,4.18,4.65,2021-09-23,1
23:15.9,11,2.99,23.16,4.16,3.85,2021-09-23,1
23:20.9,11,2.5,26.05,3.48,4.53,2021-09-23,1
23:25.9,11,2.05,27.58,3.17,3.21,2021-09-23,1
23:31.0,11,2.91,22.51,4.44,4.42,2021-09-23,1
23:36.0,11,1.64,24.82,3.46,4.13,2021-09-23,1
23:41.0,11,2.58,26.99,3.83,3.13,2021-09-23,1
23:46.0,11,2.45,24.65,4.12,4.47,2021-09-23,1
23:51.0,11,1.73,22.62,3.91,4.44,2021-09-23,1
23:56.0,11,1.59,21.84,3.78,4.98,2021-09-23,1
24:01.0,11,2.03,25.59,3.07,4.04,2021-09-23,1
24:06.0,11,2.77,22.16,4.18,4.08,2021-09-23,1
24:11.0,11,1.87,22.26,3.96,3.79,2021-09-23,1
24:16.0,11,2.56,24.74,3.96,3.69,2021-09-23,1
24:21.0,11,2.89,21.33,3.87,4.11,2021-09-23,1
24:26.0,11,1.99,26.6,3.82,3.99,2021-09-23,1
24:31.0,11,2.48,24.43,3.58,4.43,2021-09-23,1
24:36.0,11,2.24,27.37,3.5,4.83,2021-09-23,1
24:41.0,11,1.82,25.13,4.2,4.59,2021-09-23,1
24:46.0,11,1.67,21.9,3.05,4.72,2021-09-23,1
24:51.0,11,2.67,24.46,3.85,4.35,2021-09-23,1
24:56.0,11,1.75,24.57,3.69,4.69,2021-09-23,1
25:01.0,11,2.07,21.91,3.81,3.93,2021-09-23,1
25:06.1,11,1.93,26.65,4.06,3.67,2021-09-23,1
25:11.1,11,1.74,22.58,4.07,3.8,2021-09-23,1
25:16.1,11,4.57,24.12,3.27,3.31,2021-09-23,1
25:21.1,11,2.83,22.37,3.14,3.73,2021-09-23,1
25:26.1,11,2.28,27.52,3.61,4.8,2021-09-23,1
25:31.1,11,1.82,27.98,3.48,4.75,2021-09-23,1
25:36.1,11,1.91,22.93,4.43,3.35,2021-09-23,1
25:41.1,11,2.59,24.08,4.2,3.5,2021-09-23,1
25:46.1,11,2.59,22.76,4.26,4.12,2021-09-23,1
25:51.1,11,1.79,25.65,4.21,4.68,2021-09-23,1
25:56.1,11,2.73,23.52,3.18,3.7,2021-09-23,1
26:01.1,11,2.16,22.09,4.49,4.58,2021-09-23,1
26:06.1,11,2.83,26.04,3.89,3.76,2021-09-23,1
26:11.1,11,2.37,24.26,3.11,4.93,2021-09-23,1
26:16.1,11,1.87,26.01,4.37,3.11,2021-09-23,1
26:21.1,11,2.66,26.74,4.48,3.33,2021-09-23,1
26:26.1,11,1.7,22.82,3.1,3.24,2021-09-23,1
26:31.1,11,1.87,24.88,4.01,3.61,2021-09-23,1
26:36.1,11,2.01,22.55,3.5,3.52,2021-09-23,1
26:41.1,11,2.1,25.24,3.61,4.98,2021-09-23,1
26:46.1,11,2.92,22.71,3.7,3.3,2021-09-23,1
26:51.1,11,2.02,22.95,3.84,3.95,2021-09-23,1
27:17.8,12,2.88,24.7,3.74,4.19,2021-09-23,1
27:22.8,12,1.8,26.1,4.49,4.14,2021-09-23,1
27:27.9,12,1.69,22.78,3.53,4.92,2021-09-23,1
27:32.9,12,2.49,23.77,3.14,4.82,2021-09-23,1
27:37.9,12,1.67,25.18,3.33,4.41,2021-09-23,1
27:42.9,12,1.78,22.27,3.76,3.63,2021-09-23,1
27:47.9,12,1.67,25.24,3.31,4.14,2021-09-23,1
27:52.9,12,1.86,21.7,3.21,4.09,2021-09-23,1
27:57.9,12,2.11,22.05,3.33,4.11,2021-09-23,1
28:02.9,12,1.98,24.37,3.35,4.34,2021-09-23,1
28:07.9,12,1.92,26.6,3.41,3.14,2021-09-23,1
28:12.9,12,2.36,25.59,3.25,4.42,2021-09-23,1
28:17.9,12,2.09,27.36,4.02,3.29,2021-09-23,1
28:22.9,12,2.77,19.44,3.6,1.89,2021-09-23,1
28:27.9,12,2.32,22.93,3.07,3.26,2021-09-23,1
28:32.9,12,2.1,27.35,3.94,3.09,2021-09-23,1
28:37.9,12,2.65,26.23,3.5,4.56,2021-09-23,1
28:42.9,12,1.92,23.4,4.14,4.66,2021-09-23,1
28:47.9,12,2.95,25.47,3.56,4.42,2021-09-23,1
28:52.9,12,2.56,27.85,3.59,3.76,2021-09-23,1
28:57.9,12,1.82,23.45,3.69,3.68,2021-09-23,1
29:02.9,12,2.21,26.57,3.64,3.7,2021-09-23,1
29:07.9,12,1.53,25.35,3.23,3.49,2021-09-23,1
29:13.0,12,2.78,27.68,4.43,4.84,2021-09-23,1
29:18.0,12,2.41,22.91,3.75,4.15,2021-09-23,1
29:23.0,12,1.82,23.81,3.94,4.71,2021-09-23,1
29:28.0,12,2.84,26.46,4.36,4.31,2021-09-23,1
29:33.0,12,2.05,24.11,4.48,4.28,2021-09-23,1
29:38.0,12,2.84,26.51,3.86,3.83,2021-09-23,1
29:43.0,12,2.72,27.87,3.58,3.65,2021-09-23,1
29:48.0,12,1.67,23.55,4.39,3.14,2021-09-23,1
29:53.0,12,1.78,25.35,3.64,3.58,2021-09-23,1
29:58.0,12,2.16,23.9,1.73,4,2021-09-23,1
30:03.0,12,1.82,21.02,3.38,3.8,2021-09-23,1
30:08.0,12,1.78,23.53,3.6,3.55,2021-09-23,1
30:13.0,12,2.14,27.8,3.36,4.61,2021-09-23,1
30:18.0,12,3.51,22.44,3.64,3.67,2021-09-23,1
30:23.0,12,1.83,27.14,3.65,4.87,2021-09-23,1
30:28.0,12,2.65,22.93,3.21,4.09,2021-09-23,1
30:33.0,12,1.81,22.22,3.05,4.2,2021-09-23,1
30:38.0,12,2,21.88,4.18,3.1,2021-09-23,1
30:43.0,12,2.52,25.41,3.32,3.21,2021-09-23,1
30:48.0,12,2.08,24.46,4.12,4.64,2021-09-23,1
30:53.0,12,2.29,24.2,3.04,3.93,2021-09-23,1
30:58.0,12,2.2,23.94,4,3.46,2021-09-23,1
31:03.0,12,2.32,22.58,4.41,4.59,2021-09-23,1
31:08.0,12,1.88,24.92,3.94,3.68,2021-09-23,1
31:13.0,12,1.64,22.25,3.17,4.22,2021-09-23,1
31:18.0,12,1.53,24.22,4.21,3.82,2021-09-23,1
31:23.0,12,2.94,27.68,3.32,3.03,2021-09-23,1
31:28.1,12,1.74,26.24,4.07,3.87,2021-09-23,1
31:33.1,12,2.27,25.7,3.93,3.98,2021-09-23,1
31:38.1,12,1.88,26.08,4.21,3.64,2021-09-23,1
31:43.1,12,1.52,27.82,3.9,3.67,2021-09-23,1
31:48.1,12,2.6,25.21,4.35,3.29,2021-09-23,1
31:53.1,12,2.24,24.7,4.34,3.16,2021-09-23,1
31:58.1,12,2.9,23.72,3.04,4.94,2021-09-23,1
32:03.1,12,2.23,26.73,4.24,4.25,2021-09-23,1
32:08.1,12,2.3,22.36,3.67,3.9,2021-09-23,1
32:13.1,12,2.91,23.37,4.37,3.91,2021-09-23,1
32:18.1,12,2.45,27.33,3.86,4.66,2021-09-23,1
32:23.1,12,1.67,24.04,3.37,3.84,2021-09-23,1
32:28.1,12,2.62,25.97,3.9,3.04,2021-09-23,1
32:33.1,12,1.9,22.14,3.85,3.96,2021-09-23,1
32:38.1,12,2.86,24.81,3.48,3.28,2021-09-23,1
32:43.1,12,2.12,22.83,3.3,4.8,2021-09-23,1
32:48.1,12,1.92,27.21,4.29,3.73,2021-09-23,1
32:53.1,12,2.53,21.89,3.62,3.33,2021-09-23,1
32:58.1,12,2.47,27.73,3.89,3.82,2021-09-23,1
33:24.4,13,2.13,23.71,3.57,4.26,2021-09-23,1
33:29.4,13,2.56,22.86,4.27,4.62,2021-09-23,1
33:34.5,13,1.57,22.77,3.12,3.04,2021-09-23,1
33:39.5,13,2.42,27.3,3.31,3.61,2021-09-23,1
33:44.5,13,2.29,22.52,3.22,3.56,2021-09-23,1
33:49.5,13,2.34,25.39,3.58,3.88,2021-09-23,1
33:54.5,13,3.68,27.66,3.1,4.7,2021-09-23,1
33:59.5,13,1.61,22.63,3.66,4.34,2021-09-23,1
34:04.5,13,2.7,27.72,4.44,3.24,2021-09-23,1
34:09.5,13,2.62,21.21,3.87,3.58,2021-09-23,1
34:14.5,13,1.71,23.04,3.49,4.64,2021-09-23,1
34:19.5,13,2.64,21.82,4.14,4.65,2021-09-23,1
34:24.5,13,1.59,22.02,3.18,3.18,2021-09-23,1
34:29.5,13,2.67,25.53,3.35,3.12,2021-09-23,1
34:34.5,13,2.55,25.47,4.36,4.66,2021-09-23,1
34:39.5,13,2.87,24.99,4.31,3.98,2021-09-23,1
34:44.5,13,2.85,24.87,4.19,3.06,2021-09-23,1
34:49.5,13,2.12,27.16,3.04,3.33,2021-09-23,1
34:54.5,13,1.96,22.82,3.53,4.67,2021-09-23,1
34:59.5,13,2.25,24.1,3.62,3.79,2021-09-23,1
35:04.5,13,1.72,22.95,3.75,3.19,2021-09-23,1
35:09.6,13,1.76,25.28,3.58,4.93,2021-09-23,1
35:14.6,13,2.07,23.77,3.94,4.34,2021-09-23,1
35:19.6,13,2.66,27.05,3.6,3.15,2021-09-23,1
35:24.6,13,1.96,25.11,3.79,4.01,2021-09-23,1
35:29.6,13,2.65,26.49,3.61,4.04,2021-09-23,1
35:34.6,13,2.18,24.41,4.1,4.39,2021-09-23,1
35:39.6,13,1.69,23.78,3.11,3.09,2021-09-23,1
35:44.6,13,2.81,27.96,3.78,4.6,2021-09-23,1
35:49.6,13,1.65,25.44,3.5,3.52,2021-09-23,1
35:54.6,13,1.67,24.99,3.34,4.4,2021-09-23,1
35:59.6,13,2.14,27.23,3.61,3.05,2021-09-23,1
36:04.6,13,1.54,23.59,4.19,4.66,2021-09-23,1
36:09.6,13,1.6,27.48,3.29,3.53,2021-09-23,1
36:14.6,13,2.71,24.69,3.61,4.37,2021-09-23,1
36:19.6,13,1.51,21.52,4.12,4.33,2021-09-23,1
36:24.6,13,2.38,25.51,3.22,3.29,2021-09-23,1
36:29.6,13,2.2,23.43,4.13,3.62,2021-09-23,1
36:34.7,13,1.68,25.68,3.12,4.64,2021-09-23,1
36:39.7,13,1.82,26.03,4.2,4.94,2021-09-23,1
36:44.7,13,2.51,25.35,4.2,3.21,2021-09-23,1
36:49.7,13,2.71,25.28,4.46,4.21,2021-09-23,1
36:54.7,13,2.95,27.4,4.33,3.93,2021-09-23,1
36:59.7,13,1.92,27.8,3.56,3.43,2021-09-23,1
37:04.7,13,1.79,25.64,3.81,3.45,2021-09-23,1
37:09.7,13,2.34,23.65,4.27,4.85,2021-09-23,1
37:14.7,13,1.68,27.22,3.56,4.33,2021-09-23,1
37:19.7,13,1.74,23.46,3.32,3.93,2021-09-23,1
37:24.7,13,2.78,23.29,3.78,3.47,2021-09-23,1
37:29.7,13,2.26,24.3,3.68,3.45,2021-09-23,1
37:34.7,13,2.24,24.49,3.04,4.67,2021-09-23,1
37:39.7,13,3.18,24.87,3.27,4.67,2021-09-23,1
37:44.7,13,1.86,25.11,4.35,3.78,2021-09-23,1
37:49.7,13,2.94,25.64,3.79,3.42,2021-09-23,1
37:54.7,13,1.56,27.95,4.2,3.76,2021-09-23,1
37:59.7,13,2.99,22.14,4.32,3.02,2021-09-23,1
38:04.7,13,1.68,26.17,3.15,4.97,2021-09-23,1
38:09.8,13,1.63,27.41,3.93,3.8,2021-09-23,1
38:14.8,13,2.27,27.68,3.13,3.2,2021-09-23,1
38:19.8,13,2.71,23.33,3.11,4.53,2021-09-23,1
38:24.8,13,2.2,22.11,3.81,4.03,2021-09-23,1
38:29.8,13,1.54,23.5,4.04,3.19,2021-09-23,1
38:34.8,13,2.7,26.77,3.81,4.46,2021-09-23,1
38:39.8,13,1.88,21.88,3.15,4.81,2021-09-23,1
38:44.8,13,1.75,23.71,3.1,4.69,2021-09-23,1
38:49.8,13,1.76,23.22,3.95,3.2,2021-09-23,1
38:54.8,13,2.44,24.43,3.04,4.63,2021-09-23,1
38:59.8,13,2.65,25.41,3.51,4.32,2021-09-23,1
39:04.8,13,2.53,21.35,3.13,4.01,2021-09-23,1
39:31.9,14,2.53,27.53,4.22,3.8,2021-09-23,1
39:36.9,14,2.79,26.04,3.59,3.58,2021-09-23,1
39:41.9,14,2.45,27.5,3.11,3.45,2021-09-23,1
39:46.9,14,2.13,26.03,3.61,4.83,2021-09-23,1
39:51.9,14,2.88,25.93,3.43,3.71,2021-09-23,1
39:56.9,14,2.25,24.84,3.17,3.76,2021-09-23,1
40:01.9,14,2.18,23.19,3.9,4.61,2021-09-23,1
40:06.9,14,2.2,25.21,4.39,4.19,2021-09-23,1
40:12.0,14,1.97,23.55,3.44,3.08,2021-09-23,1
40:17.0,14,2.87,22.57,4.21,3.65,2021-09-23,1
40:22.0,14,2.08,22.6,3.05,3.32,2021-09-23,1
40:27.0,14,2.43,26.85,3.51,3.65,2021-09-23,1
40:32.0,14,2.26,21.27,3.75,3.58,2021-09-23,1
40:37.0,14,2.05,24.49,4.28,3.82,2021-09-23,1
40:42.0,14,2.79,26.8,3.01,4.5,2021-09-23,1
